Column1,Estimated 1 day vol,Estimated 1 Day Return,1 day PNL,Delta0Gamma PNL,$ Delta,$ Gamma,$ Theta,Diversification Index,AUM
DAX Index,0.12,0.01,18099.29,108973.00,2400000.00,161000.00,417.00,1.18,
SPX Index,0.1,0.01,9023.00,108973.00,1400000.00,1375000.00,2932.00,1.18,
NDX Index,0.13,0.01,33817.00,108973.00,4100000.00,450000.00,1750.00,1.18,
ESA Index,0.06,0,0.00,108973.00,0.00,0.00,0.00,1.18,
UKX Index,0.07,0,0.00,108973.00,0.00,0.00,0.00,1.18,
NKY Index,0.12,0.01,18947.00,108973.00,2500000.00,228000.00,700.00,1.18,
RTY Index,0.14,0.01,21121.00,108973.00,2400000.00,115000.00,402.00,1.18,
SX5E Index,0.07,0,0.00,108973.00,0.00,0.00,0.00,1.18,
HSCEI Index,0.23,0.01,0.00,108973.00,0.00,0.00,0.00,1.18,
HSI Index,0.21,0.01,0.00,108973.00,0.00,0.00,0.00,1.18,
XU1 Index,0.17,0.01,0.00,108973.00,0.00,0.00,0.00,1.18,
KOSPI2 Index,0.14,0.01,0.00,108973.00,0.00,0.00,0.00,1.18,
NH1 Index,0.1,0.01,0.00,108973.00,0.00,0.00,0.00,1.18,
TWSE Index,0.1,0.01,0.00,108973.00,0.00,0.00,0.00,1.18,
AS51 Index,0.07,0,0.00,108973.00,0.00,0.00,0.00,1.18,
CL1 Comdty,0.29,0.02,0.00,108973.00,0.00,0.00,0.00,1.18,
NG1 Comdty,0.36,0.02,0.00,108973.00,0.00,0.00,0.00,1.18,
GC1 Comdty,0.1,0.01,17838.00,108973.00,3000000.00,1834000.00,2579.00,1.18,
SI1 Comdty,0.2,0.01,10079.00,108973.00,800000.00,0.00,0.00,1.18,
S 1 Comdty,0.11,0.01,0.00,108973.00,0.00,0.00,0.00,1.18,
W 1 Comdty,0.17,0.01,0.00,108973.00,0.00,0.00,0.00,1.18,
C 1 Comdty,0.28,0.02,0.00,108973.00,0.00,0.00,0.00,1.18,
TU1 Comdty,0.01,0,0.00,108973.00,0.00,0.00,0.00,1.18,
TY1 Comdty,0.03,0,0.00,108973.00,0.00,0.00,0.00,1.18,
FV1 Comdty,0.02,0,0.00,108973.00,0.00,0.00,0.00,1.18,
US1 Comdty,0.08,0.01,0.00,108973.00,0.00,0.00,0.00,1.18,
DU1 Comdty,0,0,0.00,108973.00,0.00,0.00,0.00,1.18,
OE1 Comdty,0.02,0,0.00,108973.00,0.00,0.00,0.00,1.18,
RX1 Comdty,0.04,0,0.00,108973.00,0.00,0.00,0.00,1.18,
EMB US Equity,0.03,0,0.00,108973.00,0.00,0.00,0.00,1.18,
TLT Comdty,0.11,0.01,0.00,108973.00,0.00,0.00,0.00,1.18,
JB1 Comdty,0.01,0,0.00,108973.00,0.00,0.00,0.00,1.18,
HYG US Equity,0.02,0,0.00,108973.00,0.00,0.00,0.00,1.18,
UX1 Index,0.24,0.02,0.00,108973.00,0.00,0.00,0.00,1.18,
UX3 Index,0.13,0.01,0.00,108973.00,0.00,0.00,0.00,1.18,
FVS1 Index,0.33,0.02,0.00,108973.00,0.00,0.00,0.00,1.18,
FVS3 Index,0.11,0.01,0.00,108973.00,0.00,0.00,0.00,1.18,
EC1 Curncy,0.03,0,0.00,108973.00,0.00,0.00,0.00,1.18,
SF1 Curncy,0.04,0,0.00,108973.00,0.00,0.00,0.00,1.18,
PE1 Curncy,0.04,0,0.00,108973.00,0.00,0.00,0.00,1.18,
JY1 Curncy,0.04,0,0.00,108973.00,0.00,0.00,0.00,1.18,
AD1 Curncy,0.06,0,0.00,108973.00,0.00,0.00,0.00,1.18,
BR1 Curncy,0.13,0.01,0.00,108973.00,0.00,0.00,0.00,1.18,
BP1 Curncy,0.05,0,0.00,108973.00,0.00,0.00,0.00,1.18,
CD1 Curncy,0.03,0,0.00,108973.00,0.00,0.00,0.00,1.18,
NV1 Curncy,0.06,0,0.00,108973.00,0.00,0.00,0.00,1.18,
XID1 Curncy,0.05,0,0.00,108973.00,0.00,0.00,0.00,1.18,
UCA1 Curncy,0.05,0,0.00,108973.00,0.00,0.00,0.00,1.18,
HG1 Comdty,0.05,0,0.00,108973.00,0.00,0.00,,1.18,
