Column1,Estimated 1 day vol,Estimated 1 Day Return,1 day PNL,Delta-Gamma PNL,$ Delta,$ Gamma,$ Theta,Diversification Index
EC1 Curncy,0.03,0,0,108973,0,0,0,1.18
SF1 Curncy,0.04,0,0,108973,0,0,0,1.18
PE1 Curncy,0.04,0,0,108973,0,0,0,1.18
JY1 Curncy,0.04,0,0,108973,0,0,0,1.18
AD1 Curncy,0.06,0,0,108973,0,0,0,1.18
BR1 Curncy,0.13,0.01,0,108973,0,0,0,1.18
BP1 Curncy,0.05,0,0,108973,0,0,0,1.18
CD1 Curncy,0.03,0,0,108973,0,0,0,1.18
NV1 Curncy,0.06,0,0,108973,0,0,0,1.18
XID1 Curncy,0.05,0,0,108973,0,0,0,1.18
UCA1 Curncy,0.05,0,0,108973,0,0,0,1.18
HG1 Comdty,0.05,0,0,108973,0,0,,1.18
